date,aod,pm25,Temp_Max,Temp_Min,Humidity,Precipitation,Wind_Speed,SLP,U10M,V10M,TQV,TS
4/17/2023,0.585000028,71.79166666666667,39.2,24.7,25,0,15.5,1005.5327095833333,2.337222879,-0.174653515,22.828411258333333,306.13152187500003
4/18/2023,0.589000028,62.458333333333336,39.1,25,24,0,23.2,1006.4050216666666,2.7191492517916664,-1.398256436,28.70800701,305.91883087499997
4/19/2023,0.959000046,60.166666666666664,37.5,25.2,36,0,22.2,1003.3968879166667,1.7807890210833335,-1.337611909,31.316068804166665,305.0937601
4/20/2023,0.517000025,-306.625,34.6,23.2,45,0,15.8,1001.6105067916666,2.0244662597916667,-1.725066877,26.266558966666665,304.4365884
4/21/2023,0.153000007,58.708333333333336,35.1,22.7,34,0,17.7,1003.0925920833333,-0.563971934,-1.396514207,16.758266324999997,303.03077687499996
4/23/2023,0.332000016,30.130434782608695,34.1,21.3,27,0,21.2,1007.3673216666666,-0.030260239,-1.301924854,22.743364979166667,300.0482089
4/26/2023,0.504000024,84.69565217391305,35.3,21.7,33,0,12.1,1006.5176875000001,0.145907643,0.6548894496708333,26.084171537499998,303.56617358333335
4/27/2023,0.477000023,60.583333333333336,36.4,23.2,31,0,17.9,1006.651946,-1.656063726,-0.367922057,27.418934662500003,303.5045891666667
4/28/2023,0.266000013,74.375,33.7,22.7,37,0,14.2,1007.6143283333332,0.2939081307083333,0.34124677328333336,30.644089779166666,302.03920354166667
4/29/2023,0.21000001,13.291666666666666,33.1,22.2,50,1.3,17.1,1006.9160258333333,2.1079990685416665,-0.204455537,34.06812715,300.10507075000004
4/30/2023,0.178000008,6.458333333333333,30.1,21.6,63,1.5,20.6,1006.2045545833333,-1.976704364,-0.607483672,39.17047070416667,301.2402128
5/2/2023,0.312000015,39.166666666666664,27.1,19.5,84,6.6,18.3,1008.572605,-2.10858219,-0.24521846,39.76395987916667,296.3648579
5/4/2023,0.291000014,58.875,29.1,19,76,0,7.2,1008.2662629166666,0.073351334,-0.801952387,24.51192736666667,301.8882776666667
5/5/2023,0.251000012,80.70833333333333,30.3,20.9,66,3.5,28,1006.257906,1.487433863,-1.20824119,30.085914858333336,301.0495110416667
5/7/2023,0.774000037,54.458333333333336,35.3,20.6,48,0,19,1002.940666,1.8578321407916667,0.26305031756262504,23.75425545,305.0756734
